,longitude,latitude,neigh,room_type,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable
2296,-82.48665,35.55898,C,Entire home/apt,10,5.0,5.0,522.0,4,29,4.9,True
2297,-82.55426,35.59749,B,Entire home/apt,2,1.0,1.0,75.0,28,4,4.75,False
2298,-82.56579,35.59022,B,Entire home/apt,3,1.0,1.0,95.0,30,2,5.0,True
2299,-82.63263,35.57861,A,Entire home/apt,4,2.0,2.0,140.0,2,27,4.81,True
2300,-82.64194,35.62024,A,Entire home/apt,8,4.0,5.0,428.0,1,3,5.0,True
2301,-82.52414,35.61183,E,Entire home/apt,12,6.0,6.0,531.0,1,5,4.4,True
2302,-82.51446,35.57276,C,Entire home/apt,5,2.0,3.0,148.0,3,10,4.5,False
2303,-82.57132,35.62178,D,Private room,2,1.0,1.0,96.0,2,6,4.83,True
2304,-82.570343,35.62133,D,Private room,2,1.0,,100.0,2,3,4.67,False
2305,-82.58051,35.57479,A,Entire home/apt,4,2.0,2.0,120.0,28,3,5.0,False
